_id,city,cloudiness,co,date,delay,event_code,event_desc,feels_like,gb-defra-index,hour,humidity,iconCategory,latitude,length,longitude,magnitudeOfDelay,minute,o3,pm10,pm2_5,pollution_level,pressure,so2,temperature,us-epa-index,uv,visibility,weather_desc,weather_main,wind_deg,wind_speed
d083964385b577240cc86d95003f7a8e,ho chi minh city,40,3516.85,2025-01-07,210.0,101,Stationary traffic,305.35,10,8,68,6,10.7626,369.5625093114,106.6602,3,52,42.0,155.03,153.365,High,1008,93.425,302.07,5,8.0,10000,scattered clouds,Clouds,160,4.12
19c9b7c0961794f2d0209de2af60cc43,ho chi minh city,40,3516.85,2025-01-07,174.0,101,Stationary traffic,307.32,10,8,66,6,10.7626,169.4633199035,106.6602,3,17,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
3b7472d844765150396abe45f3cc49ba,ha noi,100,2741.7,2025-01-07,337.0,101,Stationary traffic,294.73,10,8,51,6,21.0285,502.2539818566,105.8048,3,18,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,131,2.14
426995019338dc8b97e9db2a82e923d6,ho chi minh city,40,3516.85,2025-01-07,132.0,101,Stationary traffic,307.32,10,8,66,6,10.7626,185.0033809223,106.6602,3,16,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
a62233056b2ac42e56e96967d3f4da0d,da nang,20,1050.8,2025-01-07,134.0,108,Queuing traffic,297.4,10,8,69,6,16.0471,598.1566772786,108.2062,2,48,101.0,117.66,115.07,Low,1014,18.685,297.14,4,4.0,10000,few clouds,Clouds,90,3.09
3016c8f8021e4d8ab9fb534848b57d4c,ho chi minh city,40,3516.85,2025-01-07,157.0,115,Slow traffic,306.52,10,8,68,6,10.7626,769.3396742346,106.6602,1,56,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
4665e57b1cdd780f79c352855c6fc599,ho chi minh city,40,3516.85,2025-01-07,112.0,115,Slow traffic,306.31,10,8,67,6,10.7626,594.6308738506,106.6602,1,39,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
6790f169f1548bd7bb8d8de4f06fa55c,ho chi minh city,40,3516.85,2025-01-07,42.0,115,Slow traffic,307.55,10,8,67,6,10.7626,480.380548717,106.6602,1,43,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
915ff4e65e1ac166c6f71afc2ca98035,da nang,20,1050.8,2025-01-07,179.0,115,Slow traffic,297.41,10,8,69,6,16.0454,934.5326828579,108.2096,1,56,101.0,117.66,115.07,Low,1013,18.685,297.15,4,4.0,10000,few clouds,Clouds,90,3.09
0c9b1e584d2fad1749ef2910d25b56ac,da nang,20,1045.25,2025-01-07,138.0,115,Slow traffic,298.5,10,8,69,6,16.05,2025.96,108.21,1,12,77.0,127.095,124.135,Low,1013,13.69,298.14,4,4.0,10000,few clouds,Clouds,90,3.09
68b97d25710cb01fb8c09c0da0df4125,ha noi,100,2651.05,2025-01-07,223.0,108,Queuing traffic,294.8,10,8,54,6,21.0285,736.1196971987,105.8048,2,43,52.0,242.905,240.315,Moderate,1014,68.635,295.14,5,5.0,10000,overcast clouds,Clouds,121,2.58
3e54ad0a39484c7e2df65353c61a73bd,ho chi minh city,40,3516.85,2025-01-07,52.0,101,Stationary traffic,307.55,10,8,67,6,10.7626,50.6106439181,106.6602,3,44,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
32a9716ab2c1f72a50f67febf83375f5,ho chi minh city,40,3516.85,2025-01-07,75.0,115,Slow traffic,307.55,10,8,67,6,10.7626,250.661479183,106.6602,1,43,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
2f86b407f3297d2e0912e2e9c6270cba,ha noi,100,2741.7,2025-01-07,166.0,115,Slow traffic,294.8,10,8,54,6,21.0285,736.4067924866,105.8048,1,47,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,121,2.58
3f95cef51d5c04ce7c405d716468dc25,ho chi minh city,40,3516.85,2025-01-07,50.0,108,Queuing traffic,306.52,10,8,68,6,10.7626,104.0892530763,106.6602,2,46,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
207f4c843dc98331e2c006f25df6ed81,ho chi minh city,40,3516.85,2025-01-07,240.0,108,Queuing traffic,305.35,10,8,68,6,10.7626,668.0095700765,106.6602,2,55,42.0,155.03,153.365,High,1008,93.425,302.07,5,8.0,10000,scattered clouds,Clouds,160,4.12
02b01581fc56d91bc65426e672f3a62d,da nang,20,1050.8,2025-01-07,56.0,115,Slow traffic,298.5,10,8,69,6,16.05,1573.94,108.21,1,8,101.0,117.66,115.07,Low,1013,18.685,298.14,4,4.0,10000,few clouds,Clouds,90,3.09
